3-Month Trading Plan (Feb - Apr 2025)

Date         | Day | Start Bal  | Target    | End Bal   
-------------------------------------------------------
2025-02-01   | 1   | $100.00   | +$10.00  | $110.00
2025-02-02   | 2   | $110.00   | +$11.00  | $121.00
2025-02-03   | 3   | $121.00   | +$12.10  | $133.10
2025-02-04   | 4   | $133.10   | +$13.31  | $146.41
2025-02-05   | 5   | $146.41   | +$14.64  | $161.05
2025-02-06   | 6   | $161.05   | +$16.11  | $177.16
2025-02-07   | 7   | $177.16   | +$17.72  | $194.87
2025-02-08   | 8   | $194.87   | +$19.49  | $214.36
2025-02-09   | 9   | $214.36   | +$21.44  | $235.79
2025-02-10   | 10  | $235.79   | +$23.58  | $259.37
2025-02-11   | 11  | $259.37   | +$25.94  | $285.31
2025-02-12   | 12  | $285.31   | +$28.53  | $313.84
2025-02-13   | 13  | $313.84   | +$31.38  | $345.23
2025-02-14   | 14  | $345.23   | +$34.52  | $379.75
2025-02-15   | 15  | $379.75   | +$37.97  | $417.72
2025-02-16   | 16  | $417.72   | +$41.77  | $459.50
2025-02-17   | 17  | $459.50   | +$45.95  | $505.45
2025-02-18   | 18  | $505.45   | +$50.54  | $555.99
2025-02-19   | 19  | $555.99   | +$55.60  | $611.59
2025-02-20   | 20  | $611.59   | +$61.16  | $672.75
2025-02-21   | 21  | $672.75   | +$67.27  | $740.02
2025-02-22   | 22  | $740.02   | +$74.00  | $814.03
2025-02-23   | 23  | $814.03   | +$81.40  | $895.43
2025-02-24   | 24  | $895.43   | +$89.54  | $984.97
2025-02-25   | 25  | $984.97   | +$98.50  | $1,083.47
2025-02-26   | 26  | $1,083.47   | +$108.35  | $1,191.82
2025-02-27   | 27  | $1,191.82   | +$119.18  | $1,311.00
2025-02-28   | 28  | $1,311.00   | +$131.10  | $1,442.10
2025-03-01   | 29  | $1,442.10   | +$144.21  | $1,586.31
2025-03-02   | 30  | $1,586.31   | +$158.63  | $1,744.94
2025-03-03   | 31  | $1,744.94   | +$174.49  | $1,919.43
2025-03-04   | 32  | $1,919.43   | +$191.94  | $2,111.38
2025-03-05   | 33  | $2,111.38   | +$211.14  | $2,322.52
2025-03-06   | 34  | $2,322.52   | +$232.25  | $2,554.77
2025-03-07   | 35  | $2,554.77   | +$255.48  | $2,810.24
2025-03-08   | 36  | $2,810.24   | +$281.02  | $3,091.27
2025-03-09   | 37  | $3,091.27   | +$309.13  | $3,400.39
2025-03-10   | 38  | $3,400.39   | +$340.04  | $3,740.43
2025-03-11   | 39  | $3,740.43   | +$374.04  | $4,114.48
2025-03-12   | 40  | $4,114.48   | +$411.45  | $4,525.93
2025-03-13   | 41  | $4,525.93   | +$452.59  | $4,978.52
2025-03-14   | 42  | $4,978.52   | +$497.85  | $5,476.37
2025-03-15   | 43  | $5,476.37   | +$547.64  | $6,024.01
2025-03-16   | 44  | $6,024.01   | +$602.40  | $6,626.41
2025-03-17   | 45  | $6,626.41   | +$662.64  | $7,289.05
2025-03-18   | 46  | $7,289.05   | +$728.90  | $8,017.95
2025-03-19   | 47  | $8,017.95   | +$801.80  | $8,819.75
2025-03-20   | 48  | $8,819.75   | +$881.97  | $9,701.72
2025-03-21   | 49  | $9,701.72   | +$970.17  | $10,671.90
2025-03-22   | 50  | $10,671.90   | +$1,067.19  | $11,739.09
2025-03-23   | 51  | $11,739.09   | +$1,173.91  | $12,912.99
2025-03-24   | 52  | $12,912.99   | +$1,291.30  | $14,204.29
2025-03-25   | 53  | $14,204.29   | +$1,420.43  | $15,624.72
2025-03-26   | 54  | $15,624.72   | +$1,562.47  | $17,187.19
2025-03-27   | 55  | $17,187.19   | +$1,718.72  | $18,905.91
2025-03-28   | 56  | $18,905.91   | +$1,890.59  | $20,796.51
2025-03-29   | 57  | $20,796.51   | +$2,079.65  | $22,876.16
2025-03-30   | 58  | $22,876.16   | +$2,287.62  | $25,163.77
2025-03-31   | 59  | $25,163.77   | +$2,516.38  | $27,680.15
2025-04-01   | 60  | $27,680.15   | +$2,768.01  | $30,448.16
2025-04-02   | 61  | $30,448.16   | +$3,044.82  | $33,492.98
2025-04-03   | 62  | $33,492.98   | +$3,349.30  | $36,842.28
2025-04-04   | 63  | $36,842.28   | +$3,684.23  | $40,526.51
2025-04-05   | 64  | $40,526.51   | +$4,052.65  | $44,579.16
2025-04-06   | 65  | $44,579.16   | +$4,457.92  | $49,037.07
2025-04-07   | 66  | $49,037.07   | +$4,903.71  | $53,940.78
2025-04-08   | 67  | $53,940.78   | +$5,394.08  | $59,334.86
2025-04-09   | 68  | $59,334.86   | +$5,933.49  | $65,268.34
2025-04-10   | 69  | $65,268.34   | +$6,526.83  | $71,795.18
2025-04-11   | 70  | $71,795.18   | +$7,179.52  | $78,974.70
2025-04-12   | 71  | $78,974.70   | +$7,897.47  | $86,872.17
2025-04-13   | 72  | $86,872.17   | +$8,687.22  | $95,559.38
2025-04-14   | 73  | $95,559.38   | +$9,555.94  | $105,115.32
2025-04-15   | 74  | $105,115.32   | +$10,511.53  | $115,626.85
2025-04-16   | 75  | $115,626.85   | +$11,562.69  | $127,189.54
2025-04-17   | 76  | $127,189.54   | +$12,718.95  | $139,908.49
2025-04-18   | 77  | $139,908.49   | +$13,990.85  | $153,899.34
2025-04-19   | 78  | $153,899.34   | +$15,389.93  | $169,289.27
2025-04-20   | 79  | $169,289.27   | +$16,928.93  | $186,218.20
2025-04-21   | 80  | $186,218.20   | +$18,621.82  | $204,840.02
2025-04-22   | 81  | $204,840.02   | +$20,484.00  | $225,324.02
2025-04-23   | 82  | $225,324.02   | +$22,532.40  | $247,856.43
2025-04-24   | 83  | $247,856.43   | +$24,785.64  | $272,642.07
2025-04-25   | 84  | $272,642.07   | +$27,264.21  | $299,906.28
2025-04-26   | 85  | $299,906.28   | +$29,990.63  | $329,896.90
2025-04-27   | 86  | $329,896.90   | +$32,989.69  | $362,886.59
2025-04-28   | 87  | $362,886.59   | +$36,288.66  | $399,175.25
2025-04-29   | 88  | $399,175.25   | +$39,917.53  | $439,092.78
2025-04-30   | 89  | $439,092.78   | +$43,909.28  | $483,002.06
